ID,AREA,DATA,MUN,DIST,CLAS_CEM,CATEG,INSTANC,NOM_TIPO,NOM_PREP,NOME,NOM_ETIQ,NOM_TP_A,NOM_PR_A,NOM_A,NOM_ET_A,ANO,AREA_M2,AREA_HA,AREA_KM2,GESTAO,OBS,FAIXA_AREA
84393,92.089552,440,SAO SEBASTIAO,,VERDE 1,PARES,ESTADUAL,PARQUE,DA,SERRA DO MAR - NUCLEO SAO SEBASTIAO,PARES SERRA DO MAR - NUCLEO SAO SEBASTIAO,Parque,da,Serra do Mar - Núcleo São Sebastião,PARES Serra do Mar - Núcleo São Sebastião,1977.0,92102040,9210.204,92.10204,FUNDACAO PARA CONSERVACAO E PRODUCAO FLORESTAL DE SP,REPRESENTACAO PARCIAL,>100 ha
84412,77.415374,442,CARAGUATATUBA,,VERDE 1,PARES,ESTADUAL,PARQUE,DA,SERRA DO MAR - NUCLEO CARAGUATATUBA,PARES SERRA DO MAR - NUCLEO CARAGUATATUBA,Parque,da,Serra do Mar - Núcleo Caraguatatuba,PARES Serra do Mar - Núcleo Caraguatatuba,1977.0,77420592,7742.0592,77.420592,FUNDACAO PARA CONSERVACAO E PRODUCAO FLORESTAL DE SP,REPRESENTACAO PARCIAL,>100 ha
84428,0.018125,334,GUARAREMA,GUARAREMA,VERDE 6,PARQUE URBANO,MUNICIPAL,PARQUE,,ILHA GRANDE,PARQUE ILHA GRANDE,Parque,,Ilha Grande,Parque Ilha Grande,,18125,1.812521,0.018125,,,1-5 ha
84442,1.043332,335,SALESOPOLIS,SALESOPOLIS,VERDE 2,PARES,ESTADUAL,PARQUE,DAS,NASCENTES DO TIETE,PARES NASCENTES DO TIETE,Parque,das,Nascentes do Tietê,PARES Nascentes do Tietê,1996.0,1043332,104.333219,1.043332,,PERIMETRO APROXIMADO; GESTAO DAEE,>100 ha
17929,311.969456,432,PEDRO DE TOLEDO,,VERDE 1,PARES,ESTADUAL,PARQUE,DA,SERRA DO MAR - NUCLEO ITARIRI,PARES SERRA DO MAR - NUCLEO ITARIRI,Parque,da,Serra do Mar - Núcleo Itariri,PARES Serra do Mar - Núcleo Itariri,1977.0,311969536,31196.9536,311.969536,FUNDACAO PARA CONSERVACAO E PRODUCAO FLORESTAL DE SP,REPRESENTACAO PARCIAL,>100 ha
17944,107.565848,1,COTIA,CAUCAIA DO ALTO,VERDE 1,RESERVA FLORESTAL,ESTADUAL,RESERVA FLORESTAL,DO,MORRO GRANDE,RESERVA FLORESTAL DO MORRO GRANDE,Reserva Florestal,do,Morro Grande,Reserva Florestal do Morro Grande,1981.0,107565144,10756.5144,107.565144,SABESP,PROPRIEDADE SABESP; TOMBADA PELO CONDEPHAAT - RESOLUCAO 21/1981,>100 ha
17958,306.065103,435,SAO PAULO,,VERDE 1,PARES,ESTADUAL,PARQUE,DA,SERRA DO MAR - NUCLEO CURUCUTU,PARES SERRA DO MAR - NUCLEO CURUCUTU,Parque,da,Serra do Mar - Núcleo Curucutu,PARES Serra do Mar - Núcleo Curucutu,1977.0,306065024,30606.5024,306.065024,FUNDACAO PARA CONSERVACAO E PRODUCAO FLORESTAL DE SP,,>100 ha
17978,28.946484,429,ITANHAEM,,VERDE 1,PARES,ESTADUAL,PARQUE,DA,SERRA DO MAR - NUCLEO CURUCUTU,PARES SERRA DO MAR - NUCLEO CURUCUTU,Parque,da,Serra do Mar - Núcleo Curucutu,PARES Serra do Mar - Núcleo Curucutu,1977.0,28946524,2894.6524,28.946524,FUNDACAO PARA CONSERVACAO E PRODUCAO FLORESTAL DE SP,SUPERPOSTO POR TERRA INDIGENA,>100 ha
17997,0.53032,2,SAO PAULO,PARELHEIROS,VERDE 3,PNM,MUNICIPAL,PARQUE NATURAL,,CRATERA DA COLONIA,PARQUE NATURAL CRATERA DA COLONIA,Parque Natural,,Cratera da Colônia,Parque Natural Cratera da Colônia,2007.0,530469,53.046956,0.53047,PREFEITURA MUNICIPAL (SVMA),,50-100 ha
18011,1.243101,373,EMBU GUACU,EMBU GUACU,VERDE 2,PARES,ESTADUAL,PARQUE,DA,VARZEA DO EMBU GUACU,PARES VARZEA DO EMBU GUACU,Parque,da,Várzea do Embu-Guaçu,PARES Várzea do Embu-Guaçu,1997.0,1243101,124.3101,1.243101,SIMA - COORDENADORIA DE PARQUES E PARCERIAS,PERIMETRO APROXIMADO; TAMBÉM DENOMINADO 'AZIZ AB'SABER',>100 ha
